ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1440724960.28529,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1440724960.28529,pg_catalog,pg_db_role_setting,0,0,45268,0,0,0,0,0,0,0,0,0,9,45260,0,0,0,0
1440724960.28529,pg_catalog,pg_description,0,0,186,0,0,0,0,0,0,0,0,0,24,385,0,0,0,0
1440724960.28529,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,public,time_statistics,1,1,,,3,1,0,1,3,1,2,3,,,,,,
1440724960.28529,pg_catalog,pg_class,14073,4579279,709238,724538,130,5,92,4,349,101,270,894703,235,1012051,,,,
1440724960.28529,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_operator,0,0,36209,45394,0,0,0,0,0,0,484,41572,182,88610,,,,
1440724960.28529,pg_catalog,pg_attribute,385,2625,417415,695757,686,31,508,10,2577,554,489,437609,164,848584,,,,
1440724960.28529,public,orders,8,600000000,30,30,150000000,0,0,0,150000000,0,15511588,10191462,1233874,146,,,,
1440724960.28529,pg_catalog,pg_tablespace,2,4,10138,10138,0,0,0,0,0,0,10,10130,26,20261,,,,
1440724960.28529,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_statistic,0,0,51769,39596,192,170,129,5,464,67,473,40188,80,114366,6178,27918,198,33220
1440724960.28529,pg_catalog,pg_aggregate,0,0,2141,2141,0,0,0,0,0,0,112,2029,224,4018,,,,
1440724960.28529,pg_catalog,pg_inherits,0,0,39,0,0,0,0,0,0,0,0,0,10,33,,,,
1440724960.28529,pg_catalog,pg_policy,0,0,1,0,0,0,0,0,0,0,0,0,2,1,,,,
1440724960.28529,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,public,part,8,120000000,26,26,20000000,0,0,0,20000000,0,3628264,1249321,482325,108,,,,
1440724960.28529,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_toast,pg_toast_2618,0,0,9970,31900,0,0,0,0,0,0,577,15366,33,15925,,,,
1440724960.28529,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_toast,pg_toast_13156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440724960.28529,pg_catalog,pg_transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_toast,pg_toast_13126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_database,2893,11530,49886,49884,1,0,0,0,1,0,1,52777,36,72479,,,,
1440724960.28529,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_depend,0,0,1843,1857,341,0,251,0,90,251,100,2315,192,5195,,,,
1440724960.28529,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440724960.28529,public,supplier,9,4000000,42,42,1000000,0,0,0,1000000,0,41647,181902,5499,148,,,,
1440724960.28529,public,lineitem,14,5400341118,56,56,600037902,0,0,0,600037412,0,120072790,33910379,11864118,338,,,,
1440724960.28529,pg_catalog,pg_amproc,70,140,34437,53858,0,0,0,0,0,0,34,34621,30,79728,,,,
1440724960.28529,information_schema,sql_sizing_profiles,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440724960.28529,pg_catalog,pg_collation,0,0,3,1,0,0,0,0,0,0,1,0,4,4,,,,
1440724960.28529,pg_catalog,pg_range,0,0,60,0,0,0,0,0,0,0,0,0,74,46,,,,
1440724960.28529,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_toast,pg_toast_13146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_opclass,70,70,37107,399692,0,0,0,0,0,0,34,150291,56,54141,,,,
1440724960.28529,information_schema,sql_languages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440724960.28529,pg_catalog,pg_rewrite,0,0,13989,13988,5,0,5,0,0,5,484,13532,32,23954,577,15366,66,31850
1440724960.28529,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_seclabel,0,0,186,0,0,0,0,0,0,0,0,0,8,178,0,0,0,0
1440724960.28529,public,region,6,10,8,8,5,0,0,0,5,0,5,15,2,10,,,,
1440724960.28529,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440724960.28529,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440724960.28529,pg_catalog,pg_event_trigger,0,0,168,0,0,0,0,0,0,0,0,0,9,159,,,,
1440724960.28529,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440724960.28529,pg_catalog,pg_extension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_ts_config,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440724960.28529,pg_catalog,pg_cast,0,0,150892,58774,0,0,0,0,0,0,50,58724,22,161186,,,,
1440724960.28529,pg_catalog,pg_amop,0,0,68833,108823,0,0,0,0,0,0,84,108739,104,153878,,,,
1440724960.28529,pg_toast,pg_toast_13141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440724960.28529,pg_catalog,pg_type,0,0,190345,190096,90,0,71,0,373,72,174,190217,155,385990,,,,
1440724960.28529,public,customer,11,90000000,28,28,15000000,0,0,0,15000000,0,2831495,1509737,218550,114,,,,
1440724960.28529,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,information_schema,sql_sizing,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440724960.28529,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_am,10967,10967,0,0,0,0,0,0,0,0,10,10957,0,0,,,,
1440724960.28529,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_toast,pg_toast_13131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440724960.28529,pg_catalog,pg_namespace,5378,44208,116553,106110,4,0,0,0,4,0,18,111480,85,131145,,,,
1440724960.28529,public,partsupp,5,240000000,42,42,80000000,0,0,0,80000000,0,10255177,6119360,438724,162,,,,
1440724960.28529,pg_toast,pg_toast_2619,0,0,7321,43179,6522,0,4404,0,2200,16,6178,27918,198,33220,,,,
1440724960.28529,public,nation,14,50,42,42,25,0,0,0,25,0,5,49,2,50,,,,
1440724960.28529,pg_catalog,pg_authid,2006,2005,20882,20882,0,0,0,0,0,0,10,22877,40,41724,,,,
