task_name,s_time,e_time,diff_time,seconds
LOAD,2015-08-27 19:16:58.747992,2015-08-27 21:22:34.354211,02:05:35.606219,7535.606219
PERF.POWER.RF1,2015-08-27 21:22:40.251296,2015-08-27 21:25:20.156451,00:02:39.905155,159.905155
PERF.POWER.Q14,2015-08-27 21:25:20.167619,2015-08-27 21:27:44.643617,00:02:24.475998,144.475998
PERF.POWER.Q2,2015-08-27 21:27:44.654012,2015-08-27 21:29:01.752572,00:01:17.09856,77.09856
PERF.POWER.Q9,2015-08-27 21:29:01.766608,2015-08-27 21:36:24.563073,00:07:22.796465,442.796465
PERF.POWER.Q20,2015-08-27 21:36:24.598903,2015-08-27 21:39:05.453265,00:02:40.854362,160.854362
PERF.POWER.Q6,2015-08-27 21:39:05.468143,2015-08-27 21:41:08.932397,00:02:03.464254,123.464254
PERF.POWER.Q17,2015-08-27 21:41:08.943707,2015-08-27 21:41:14.403013,00:00:05.459306,5.459306
PERF.POWER.Q18,2015-08-27 21:41:14.418343,2015-08-27 21:51:23.89768,00:10:09.479337,609.479337
PERF.POWER.Q8,2015-08-27 21:51:23.927938,2015-08-27 21:57:08.388696,00:05:44.460758,344.460758
PERF.POWER.Q21,2015-08-27 21:57:08.403318,2015-08-27 21:57:08.886381,00:00:00.483063,0.483063
PERF.POWER.Q13,2015-08-27 21:57:08.897387,2015-08-27 22:00:44.57478,00:03:35.677393,215.677393
PERF.POWER.Q3,2015-08-27 22:00:44.585692,2015-08-27 22:04:16.440235,00:03:31.854543,211.854543
PERF.POWER.Q22,2015-08-27 22:04:16.457863,2015-08-27 22:04:19.747727,00:00:03.289864,3.289864
PERF.POWER.Q16,2015-08-27 22:04:19.759039,2015-08-27 22:05:46.454837,00:01:26.695798,86.695798
PERF.POWER.Q4,2015-08-27 22:05:46.466164,2015-08-27 22:07:27.34548,00:01:40.879316,100.879316
PERF.POWER.Q11,2015-08-27 22:07:27.36005,2015-08-27 22:08:05.764457,00:00:38.404407,38.404407
PERF.POWER.Q15,2015-08-27 22:08:05.775694,2015-08-27 22:14:38.228957,00:06:32.453263,392.453263
